,fname1,fname2,distance,runtime
35,K00262_sankoff.gr,K00164_genesis.gr,4,0.0014255046844482422
36,K00262_sankoff.gr,K01011_genesis.gr,5,0.0013380050659179688
37,K00262_sankoff.gr,K00135_sankoff.gr,11,0.001397848129272461
38,K00262_sankoff.gr,K01772_genesis.gr,8,0.0015943050384521484
39,K00262_sankoff.gr,K06886_fitch.gr,7,0.0015614032745361328
40,K00262_sankoff.gr,K02259_sankoff.gr,5,0.002496480941772461
41,K00262_sankoff.gr,K21636_fitch.gr,11,0.002027273178100586
42,K00262_sankoff.gr,K02257_genesis.gr,5,0.001390695571899414
43,K00262_sankoff.gr,K03179_sankoff.gr,8,0.0016326904296875
44,K00262_sankoff.gr,K00627_genesis.gr,5,0.0013957023620605469
45,K00262_sankoff.gr,K07133_fitch.gr,13,0.0016751289367675781
46,K00262_sankoff.gr,K01255_fitch.gr,13,0.002645730972290039
47,K00262_sankoff.gr,K02221_fitch.gr,11,0.002113819122314453
48,K00262_sankoff.gr,K08303_fitch.gr,14,0.0014667510986328125
49,K00262_sankoff.gr,K01011_fitch.gr,9,0.0013418197631835938
50,K00262_sankoff.gr,K07152_fitch.gr,5,0.0013496875762939453
51,K00262_sankoff.gr,K00228_genesis.gr,3,0.0015559196472167969
52,K00262_sankoff.gr,K00162_sankoff.gr,6,0.0018155574798583984
53,K00262_sankoff.gr,K03737_sankoff.gr,4,0.002208709716796875
54,K00262_sankoff.gr,K07146_genesis.gr,6,0.0016102790832519531
55,K00262_sankoff.gr,K03667_genesis.gr,7,0.0013592243194580078
56,K00262_sankoff.gr,K03635_genesis.gr,6,0.0014605522155761719
57,K00262_sankoff.gr,K00262_genesis.gr,4,0.0026547908782958984
58,K00262_sankoff.gr,K17828_fitch.gr,12,0.002552509307861328
59,K00262_sankoff.gr,K01255_genesis.gr,3,0.0020236968994140625
60,K00262_sankoff.gr,K01772_sankoff.gr,9,0.0015316009521484375
61,K00262_sankoff.gr,K00573_fitch.gr,5,0.0013287067413330078
62,K00262_sankoff.gr,K01589_sankoff.gr,8,0.0014514923095703125
63,K00262_sankoff.gr,K01419_sankoff.gr,7,0.0015728473663330078
64,K00262_sankoff.gr,K06886_sankoff.gr,5,0.0017249584197998047
65,K00262_sankoff.gr,K01493_genesis.gr,3,0.0023975372314453125
66,K00262_sankoff.gr,K03074_fitch.gr,12,0.0018541812896728516
67,K00262_sankoff.gr,K21636_genesis.gr,5,0.0013768672943115234
68,K00262_sankoff.gr,K03179_fitch.gr,8,0.0014638900756835938
69,K00262_sankoff.gr,K08303_genesis.gr,5,0.0014891624450683594
70,K00262_sankoff.gr,K00228_fitch.gr,3,0.0015392303466796875
71,K00262_sankoff.gr,K07133_genesis.gr,10,0.002857208251953125
72,K00262_sankoff.gr,K01903_fitch.gr,10,0.002105236053466797
73,K00262_sankoff.gr,K02257_sankoff.gr,5,0.0013937950134277344
74,K00262_sankoff.gr,K03635_sankoff.gr,7,0.0013453960418701172
75,K00262_sankoff.gr,K00627_fitch.gr,7,0.0015912055969238281
76,K00262_sankoff.gr,K01493_fitch.gr,9,0.0016410350799560547
77,K00262_sankoff.gr,K02823_fitch.gr,12,0.0021636486053466797
78,K00262_sankoff.gr,K07152_genesis.gr,5,0.002094268798828125
79,K00262_sankoff.gr,K03636_sankoff.gr,7,0.0014405250549316406
80,K00262_sankoff.gr,K02259_genesis.gr,5,0.0013346672058105469
81,K00262_sankoff.gr,K00161_genesis.gr,6,0.0013816356658935547
82,K00262_sankoff.gr,K01011_sankoff.gr,6,0.0015950202941894531
83,K00262_sankoff.gr,K01724_fitch.gr,6,0.0015711784362792969
84,K00262_sankoff.gr,K03667_fitch.gr,7,0.002638578414916992
85,K00262_sankoff.gr,K00135_genesis.gr,6,0.0018322467803955078
86,K00262_sankoff.gr,K00573_sankoff.gr,5,0.0013689994812011719
87,K00262_sankoff.gr,K01903_genesis.gr,7,0.001336812973022461
88,K00262_sankoff.gr,K03737_fitch.gr,13,0.001565694808959961
89,K00262_sankoff.gr,K13628_sankoff.gr,4,0.001561880111694336
90,K00262_sankoff.gr,K06886_genesis.gr,5,0.0026092529296875
91,K00262_sankoff.gr,K04068_genesis.gr,5,0.0019478797912597656
92,K00262_sankoff.gr,K02275_fitch.gr,6,0.0015616416931152344
93,K00262_sankoff.gr,K01638_fitch.gr,7,0.0013644695281982422
94,K00262_sankoff.gr,K07152_sankoff.gr,5,0.0013968944549560547
95,K00262_sankoff.gr,K01724_sankoff.gr,6,0.0016181468963623047
96,K00262_sankoff.gr,K01493_sankoff.gr,4,0.0016472339630126953
97,K00262_sankoff.gr,K00161_sankoff.gr,6,0.002348184585571289
98,K00262_sankoff.gr,K17828_genesis.gr,4,0.0018970966339111328
99,K00262_sankoff.gr,K02823_genesis.gr,4,0.0013582706451416016
100,K00262_sankoff.gr,K17828_sankoff.gr,5,0.0013129711151123047
101,K00262_sankoff.gr,K00164_fitch.gr,4,0.001481771469116211
102,K00262_sankoff.gr,K02274_fitch.gr,6,0.0015757083892822266
103,K00262_sankoff.gr,K00632_genesis.gr,5,0.002615213394165039
104,K00262_sankoff.gr,K03980_genesis.gr,3,0.0019567012786865234
105,K00262_sankoff.gr,K00627_sankoff.gr,5,0.0014605522155761719
106,K00262_sankoff.gr,K02274_genesis.gr,4,0.0013461112976074219
107,K00262_sankoff.gr,K03635_fitch.gr,11,0.0014069080352783203
108,K00262_sankoff.gr,K07146_fitch.gr,6,0.0016291141510009766
109,K00262_sankoff.gr,K03820_sankoff.gr,6,0.0015475749969482422
110,K00262_sankoff.gr,K00135_fitch.gr,14,0.002523183822631836
