,characters,fa_list
23,K00963,[]
24,K03750,"[<TN: Bacilli>, <TN: Dorea>, <TN: T06584>]"
25,K00252,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
26,K00658,"[<TN: Pseudomonadota>, <TN: Bacteroides>, <TN: Staphylococcus>]"
27,K00121,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
28,K06891,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: T06523>]"
29,K00970,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>, <TN: T01461>]"
30,K00982,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
31,K05786,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>]"
32,K00362,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
33,K03782,"[<TN: Pseudomonadota>, <TN: T06794>]"
34,K04759,"[<TN: Burkholderiales>, <TN: Gammaproteobacteria>, <TN: Mycobacteriales>, <TN: Bifidobacterium>]"
35,K01006,"[<TN: T06085>, <TN: T00398>, <TN: T02545>]"
36,K09791,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>]"
37,K06916,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T08201>]"
38,K03169,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: T03496>, <TN: T05201>]"
39,K00651,"[<TN: Actinomycetota>, <TN: Bacteroides>, <TN: Bacillota>, <TN: Bifidobacterium>, <TN: T01461>, <TN: T06085>, <TN: T03770>]"
40,K09157,"[<TN: Actinomycetota>, <TN: Mycobacteriales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
41,K07390,[<TN: Pseudomonadota>]
42,K01061,"[<TN: Burkholderiales>, <TN: Actinomycetes>, <TN: Lactobacillus>, <TN: T06554>]"
43,K03976,"[<TN: Gammaproteobacteria>, <TN: Campylobacter>]"
44,K00459,[]
0,K00390,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T04453>, <TN: T01461>, <TN: T08069>, <TN: T02133>]"
1,K01637,"[<TN: Actinomycetota>, <TN: Pseudomonadota>]"
2,K00568,[<TN: Pseudomonadota>]
3,K03644,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Staphylococcus>]"
4,K09001,"[<TN: Pseudomonadota>, <TN: T04182>, <TN: T04222>, <TN: T06523>]"
5,K07166,"[<TN: Actinomycetota>, <TN: Mycobacteriales>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T00964>, <TN: T04115>]"
6,K00990,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
7,K00163,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
8,K06929,"[<TN: Comamonadaceae>, <TN: Actinomycetes>, <TN: T06085>, <TN: T00925>]"
9,K00457,"[<TN: Pseudomonadota>, <TN: T02545>]"
10,K06193,"[<TN: Pseudomonadota>, <TN: Comamonadaceae>, <TN: T04021>, <TN: T00398>, <TN: T06584>, <TN: T05201>, <TN: T06523>]"
11,K02116,"[<TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T08201>, <TN: T06584>, <TN: T00701>, <TN: T02545>]"
12,K01029,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Staphylococcus>, <TN: T08780>]"
13,K14162,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
14,K03752,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>, <TN: Campylobacter>, <TN: Coriobacteriia>, <TN: Bacilli>, <TN: T08201>, <TN: T04453>, <TN: T06584>]"
15,K01595,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacilli>, <TN: T08780>]"
16,K08973,"[<TN: Campylobacterales>, <TN: Pseudomonadota>]"
17,K03117,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>]"
18,K07139,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: T01461>]"
19,K00363,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
20,K09773,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Bacillota>]"
21,K04041,"[<TN: Bacteroidales>, <TN: Bacillota>, <TN: Coriobacteriia>]"
22,K01640,"[<TN: Pseudomonadota>, <TN: Mycobacteriales>, <TN: T04453>, <TN: T04182>, <TN: T00447>, <TN: T02545>]"
23,K00940,"[<TN: Bacteroides>, <TN: Bacilli>]"
24,K03613,"[<TN: Gammaproteobacteria>, <TN: Coriobacteriia>]"
25,K02303,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Staphylococcus>, <TN: Corynebacterium>]"
26,K00241,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Bacilli>, <TN: T08201>, <TN: T06719>]"
27,K02415,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>, <TN: T08780>]"
28,K04755,"[<TN: Pseudomonadota>, <TN: T06719>, <TN: T00701>]"
29,K00275,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: T02545>, <TN: T06794>]"
30,K07516,[<TN: Pseudomonadota>]
31,K00019,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Staphylococcus>, <TN: T08780>]"
32,K09767,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: T08201>]"
33,K02535,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T08201>, <TN: T04453>]"
34,K03801,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: Bacteroidales>]"
35,K00705,[<TN: T00701>]
36,K03089,[<TN: Pseudomonadota>]
37,K11473,"[<TN: Pseudomonadota>, <TN: Campylobacter>]"
38,K09780,"[<TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Corynebacterium>, <TN: T06085>, <TN: T00398>, <TN: T02545>]"
39,K02427,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T01461>]"
40,K02446,"[<TN: Actinomycetota>, <TN: T04453>, <TN: T03770>, <TN: T06584>]"
41,K04764,"[<TN: Pseudomonadota>, <TN: T08201>]"
42,K05788,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T05201>]"
43,K06871,"[<TN: Bacillota>, <TN: T01461>, <TN: T06085>, <TN: T02545>, <TN: T06523>]"
44,K03666,"[<TN: Pseudomonadota>, <TN: Bacilli>, <TN: T04182>]"
0,K02394,"[<TN: Pseudomonadota>, <TN: T08201>, <TN: T08780>]"
1,K03340,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Lachnospiraceae>, <TN: T08201>]"
2,K00641,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Campylobacter>, <TN: Bacilli>, <TN: Eubacteriales>, <TN: T08201>, <TN: T04453>, <TN: T02133>]"
3,K03593,"[<TN: Campylobacterales>, <TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Staphylococcus>, <TN: T06584>]"
4,K00656,"[<TN: Bacteroidales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T03770>, <TN: T06584>]"
5,K00381,"[<TN: Pseudomonadota>, <TN: Staphylococcus>]"
6,K00048,"[<TN: Bacteroides>, <TN: Coriobacteriia>, <TN: Bifidobacterium>, <TN: Lachnospiraceae>, <TN: T04453>, <TN: T01461>, <TN: T06584>]"
7,K01692,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: T06554>]"
8,K03562,"[<TN: Pseudomonadota>, <TN: Campylobacter>]"
9,K03652,"[<TN: Actinomycetota>, <TN: Comamonadaceae>, <TN: Gammaproteobacteria>, <TN: Bacilli>, <TN: Eubacteriales>, <TN: T08201>]"
10,K03560,"[<TN: Pseudomonadota>, <TN: T04453>]"
11,K07399,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: T08201>, <TN: T00964>]"
12,K03641,"[<TN: Campylobacterales>, <TN: Pseudomonadota>, <TN: T04453>, <TN: T01461>, <TN: T00447>, <TN: T06523>]"
13,K00799,[<TN: Pseudomonadota>]
14,K01679,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Bacillota>, <TN: T01461>, <TN: T08780>]"
15,K03324,"[<TN: Campylobacter>, <TN: Coriobacteriia>, <TN: T05738>]"
16,K07456,[]
17,K01556,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
18,K03183,[<TN: Bacilli>]
19,K01938,"[<TN: Micrococcales>, <TN: Corynebacterium>, <TN: Bifidobacterium>, <TN: T06085>]"
20,K16363,[<TN: Bacteroidales>]
21,K03316,"[<TN: Gammaproteobacteria>, <TN: T00925>]"
22,K03308,"[<TN: Gammaproteobacteria>, <TN: Micrococcales>, <TN: Coriobacteriia>, <TN: Corynebacterium>, <TN: T00701>]"
23,K08300,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
24,K05520,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Staphylococcus>, <TN: T00964>]"
25,K03116,[<TN: Bacilli>]
26,K18707,[<TN: T06085>]
27,K00850,[<TN: Gammaproteobacteria>]
28,K04069,"[<TN: Actinomycetota>, <TN: Bacteroidales>, <TN: Gammaproteobacteria>, <TN: Campylobacter>, <TN: Corynebacterium>, <TN: Eubacteriales>, <TN: Bifidobacterium>, <TN: T04453>, <TN: T01461>, <TN: T06584>]"
29,K08972,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacillota>]"
30,K08311,"[<TN: Campylobacterales>, <TN: Pseudomonadota>]"
31,K00684,"[<TN: Pseudomonadota>, <TN: T04021>, <TN: T06523>]"
32,K00943,"[<TN: T07943>, <TN: T02133>]"
33,K10764,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Mycobacteriales>]"
34,K06195,[<TN: Pseudomonadota>]
35,K00140,"[<TN: Pseudomonadota>, <TN: Actinomycetes>, <TN: T04453>]"
36,K07113,"[<TN: Pseudomonadota>, <TN: Actinomycetes>]"
37,K00020,"[<TN: Actinomycetota>, <TN: Pseudomonadota>, <TN: Dorea>, <TN: T04453>, <TN: T06584>, <TN: T06719>]"
38,K02825,"[<TN: Actinomycetota>, <TN: Burkholderiales>, <TN: Bacillota>, <TN: T08201>, <TN: T04453>, <TN: T06554>]"
39,K10804,"[<TN: Pseudomonadota>, <TN: Micrococcales>, <TN: Bacilli>, <TN: T00964>, <TN: T04182>]"
40,K00208,"[<TN: Pseudomonadota>, <TN: Bacteroidales>, <TN: Campylobacter>, <TN: Bacilli>, <TN: T08201>]"
41,K01572,[<TN: Campylobacterales>]
42,K07723,[<TN: Staphylococcus>]
43,K03118,[<TN: Bacilli>]
44,K03579,"[<TN: Actinomycetota>, <TN: Pseudomonadota>]"
